Place_ID,Place_Name,City,Province,Category,Latitude,Longitude,Terrain_Type,Time_Needed (H),Rating
51,Kiriella Hot Springs (local),Kiriella,Sabaragamuwa,Nature,6.7330,80.3300,Paved,1.5,4.2
52,Kiriella Bridge View,Kiriella,Sabaragamuwa,Viewpoint,6.7340,80.3290,Paved,1,4.1
53,Gilimalaya Rainforest Trail,Kalawana,Sabaragamuwa,Hiking,6.4500,80.5600,Off-Road,4,4.6
54,Handapan Ella Falls,Opanayake,Sabaragamuwa,Nature,6.6950,80.4900,Hilly,2.5,4.4
55,Kiribathgala Temple (Ratnapura),Ratnapura,Sabaragamuwa,Religious,6.6900,80.4200,Paved,1.5,4.3
56,Udawalawe Reservoir (Walawe) Viewpoint,Embilipitiya,Sabaragamuwa,Viewpoint,6.4680,80.8890,Paved,1.5,4.4
57,Embilipitiya Town Park,Embilipitiya,Sabaragamuwa,Park,6.3430,80.8490,Paved,1.5,4.1
58,Suriyakanda Viewpoint,Suriyakanda,Sabaragamuwa,Viewpoint,6.4060,80.6590,Hilly,2.5,4.5
59,Suriyakanda Hiking Trails,Suriyakanda,Sabaragamuwa,Hiking,6.4040,80.6610,Hilly,4,4.6
60,Deniyaya Town & Tea Estates,Deniyaya,Sabaragamuwa,Culture,6.3450,80.5570,Hilly,2.5,4.3
61,Deniyaya Tea Factory Visit (local),Deniyaya,Sabaragamuwa,Museum,6.3480,80.5530,Hilly,1.5,4.4
62,Bopaththalawa Scenic Road,Balangkoda,Sabaragamuwa,Relax,6.6500,80.6900,Paved,1.5,4.2
63,Imbulpe Kiribathgala Forest Trail,Belihuloya,Sabaragamuwa,Nature,6.7150,80.7900,Off-Road,3.5,4.4
64,Gem Pits Viewpoint (Ratnapura outskirts),Ratnapura,Sabaragamuwa,Viewpoint,6.6750,80.4200,Off-Road,2,4.3
65,Kalawana River Bathing Spots,Kalawana,Sabaragamuwa,Relax,6.5300,80.4100,Off-Road,2.5,4.3
66,Sinharaja Conservation Centre (Kudawa),Kudawa,Sabaragamuwa,Museum,6.4295,80.4605,Paved,1.5,4.4
67,Pathan Oya Nature Stop,Belihuloya,Sabaragamuwa,Nature,6.7050,80.7700,Off-Road,2.5,4.3
68,Kirindi Ella Waterfall,Ratnapura,Sabaragamuwa,Nature,6.7140,80.4260,Hilly,2.5,4.6
69,Kirindi Ella Forest Trail,Ratnapura,Sabaragamuwa,Hiking,6.7135,80.4255,Hilly,3,4.5
70,Seethagangula River Pools (Sinharaja),Kudawa,Sabaragamuwa,Nature,6.4305,80.4630,Off-Road,3,4.6
71,Kaluganga River Source Area (local),Kalawana,Sabaragamuwa,Nature,6.4400,80.5600,Off-Road,4,4.4
72,Embilipitiya Cultural Walk,Embilipitiya,Sabaragamuwa,Culture,6.3420,80.8480,Paved,2,4.2
73,Udawalawe Safari Buffer Zone Nature Walk,Embilipitiya,Sabaragamuwa,Nature,6.4700,80.8950,Off-Road,3,4.4
74,Maskeliya Tea Gardens Scenic Stop,Maskeliya,Sabaragamuwa,Viewpoint,6.8100,80.5300,Hilly,1.5,4.4
75,Tea Smallholder Experience (Ratnapura hills),Ratnapura,Sabaragamuwa,Culture,6.7000,80.4700,Hilly,3,4.3
76,Godakawela Town & River Crossing,Godakawela,Sabaragamuwa,Culture,6.1900,80.6450,Paved,1.5,4.1
77,Godakawela Hot Springs (local),Godakawela,Sabaragamuwa,Nature,6.2000,80.6500,Paved,1.5,4.2
78,Opanayake Tea Trails,Opanayake,Sabaragamuwa,Hiking,6.7050,80.5200,Hilly,3.5,4.3
79,Pelmadulla Town Market,Pelmadulla,Sabaragamuwa,Shopping,6.6200,80.5400,Paved,1.5,4.1
80,Pelmadulla Scenic River Bend,Pelmadulla,Sabaragamuwa,Relax,6.6220,80.5380,Paved,1.5,4.2
