Place_ID,Place_Name,City,Province,Category,Latitude,Longitude,Terrain_Type,Time_Needed (H),Rating,real_distance
6,Mirisawetiya Stupa,Anuradhapura,North Central,History,8.357,80.394,Paved,1.5,4.6,189.0627
7,Isurumuniya Viharaya,Anuradhapura,North Central,Religious,8.329,80.4035,Paved,1.5,4.7,187.6509
8,Kuttam Pokuna (Twin Ponds),Anuradhapura,North Central,History,8.3739,80.3985,Paved,1.5,4.6,191.6463
9,Samadhi Buddha Statue,Anuradhapura,North Central,History,8.36,80.408,Paved,1.0,4.6,190.9169
10,Anuradhapura Archaeological Museum,Anuradhapura,North Central,Museum,8.3395,80.405,Paved,1.5,4.6,187.798
11,Ranmasu Uyana (Royal Gardens),Anuradhapura,North Central,History,8.331,80.398,Paved,1.5,4.5,187.0901
12,Vessagiriya Ruins,Anuradhapura,North Central,History,8.323,80.396,Off-Road,1.5,4.5,185.9354
13,Lovamahapaya (Brazen Palace) Ruins,Anuradhapura,North Central,History,8.345,80.4035,Paved,1.0,4.5,189.30270000000002
14,Eth Pokuna (Elephant Pond),Anuradhapura,North Central,History,8.374,80.399,Paved,1.0,4.5,191.59029999999998
15,Queen’s Pavilion Ruins,Anuradhapura,North Central,History,8.337,80.406,Paved,1.0,4.4,187.8689
16,Moonstone (Sandakada Pahana) - Anuradhapura,Anuradhapura,North Central,History,8.3405,80.4045,Paved,0.8,4.5,187.903
17,Abhayagiri Monastery Complex,Anuradhapura,North Central,History,8.3715,80.401,Paved,2.0,4.6,191.2215
18,Il Pansala (Image House) at Thuparama,Anuradhapura,North Central,History,8.3562,80.4022,Paved,1.0,4.5,189.7299
19,Tissa Wewa Lake,Anuradhapura,North Central,Relax,8.333,80.397,Paved,2.0,4.5,186.8199
20,Nuwara Wewa Lake,Anuradhapura,North Central,Relax,8.33,80.425,Paved,2.0,4.4,189.7328
21,Basawakkulama (Abhaya Wewa),Anuradhapura,North Central,Nature,8.364,80.384,Paved,1.5,4.5,190.5551
22,Nachchaduwa Wewa,Anuradhapura,North Central,Nature,8.283,80.525,Off-Road,2.5,4.4,184.5371
23,Kala Wewa Reservoir,Kalawewa,North Central,Nature,8.1,80.5,Off-Road,2.5,4.6,165.8431
24,Aukana Buddha Statue,Aukana,North Central,History,8.073,80.506,Paved,1.5,4.8,165.694
25,Vijithapura Ruins,Mihintale,North Central,History,8.352,80.517,Paved,1.5,4.5,190.40789999999998
26,Thanthirimale Rajamaha Viharaya,Thanthirimale,North Central,Religious,8.504,80.321,Off-Road,2.5,4.6,211.3709
27,Mihintale Aradhana Gala Summit,Mihintale,North Central,Hiking,8.37,80.51,Hilly,2.0,4.7,192.00979999999998
28,Mihintale Ambasthala Stupa,Mihintale,North Central,Religious,8.356,80.514,Hilly,1.5,4.7,190.9115
29,Kantaka Chetiya,Mihintale,North Central,History,8.368,80.517,Hilly,1.5,4.6,192.4737
30,Kaludiya Pokuna (Mihintale),Mihintale,North Central,Nature,8.348,80.52,Off-Road,2.0,4.6,190.69570000000002
31,Naga Pokuna (Mihintale),Mihintale,North Central,Nature,8.357,80.516,Hilly,1.5,4.5,191.2966
32,Mihintale Ancient Hospital,Mihintale,North Central,History,8.358,80.513,Paved,1.0,4.5,190.9111
33,Mihintale Maha Seya,Mihintale,North Central,Religious,8.367,80.52,Hilly,1.5,4.6,192.9433
34,Mihintale Alms Hall Ruins,Mihintale,North Central,History,8.3575,80.5135,Paved,1.0,4.4,191.29170000000002
35,Ritigala Strict Nature Reserve,Ritigala,North Central,Hiking,8.118,80.699,Hilly,3.0,4.7,173.1356
36,Ritigala Monastic Ruins,Ritigala,North Central,History,8.121,80.702,Off-Road,2.0,4.6,173.7764
37,Hurulu Eco Park,Habarana,North Central,Safari,8.029,80.751,Off-Road,4.0,4.6,153.4606
38,Habarana Lake,Habarana,North Central,Relax,8.047,80.748,Paved,1.5,4.5,156.21189999999999
39,Rajanganaya Dam,Rajanganaya,North Central,Architecture,8.152,80.226,Paved,1.5,4.4,170.016
40,Wilpattu National Park (Hunuwilagama Gate),Nochchiyagama,North Central,Safari,8.457,79.996,Off-Road,6.0,4.8,227.05610000000001
41,Awkana Reservoir Viewpoint,Aukana,North Central,Viewpoint,8.077,80.502,Paved,1.0,4.4,164.2223
42,Avukana Heritage Museum,Aukana,North Central,Museum,8.074,80.505,Paved,1.0,4.4,164.328
43,Anuradhapura New Town Market Walk,Anuradhapura,North Central,Culture,8.335,80.41,Paved,1.0,4.3,188.5504
44,Isinbassagala Rajamaha Vihara,Medawachchiya,North Central,Religious,8.535,80.513,Paved,1.5,4.4,213.0043
45,Padeniya? (omitted),-,North Central,History,0.0,0.0,Paved,0.0,0.0,
46,Parakrama Samudraya,Polonnaruwa,North Central,Nature,7.934,81.017,Paved,2.5,4.7,200.5103
47,Polonnaruwa Archaeological Museum,Polonnaruwa,North Central,Museum,7.9385,81.0019,Paved,1.5,4.6,198.1616
48,King Parakramabahu’s Royal Palace,Polonnaruwa,North Central,History,7.941,81.001,Paved,1.5,4.7,197.7877
49,Council Chamber (Audience Hall),Polonnaruwa,North Central,History,7.9415,81.0015,Paved,1.0,4.6,197.8244
50,Quadrangle (Dalada Maluwa),Polonnaruwa,North Central,History,7.9402,81.0006,Paved,2.0,4.8,197.83679999999998
51,Polonnaruwa Vatadage,Polonnaruwa,North Central,History,7.9403,81.0005,Paved,1.0,4.8,197.8259
52,Nissanka Latha Mandapaya,Polonnaruwa,North Central,History,7.9406,81.0007,Paved,0.8,4.7,197.7957
53,Hatadage Shrine,Polonnaruwa,North Central,History,7.9401,81.0004,Paved,0.8,4.6,197.84820000000002
54,Atadage Shrine,Polonnaruwa,North Central,History,7.94,81.0003,Paved,0.8,4.6,197.99360000000001
55,Gal Potha (Stone Book),Polonnaruwa,North Central,History,7.9407,81.0006,Paved,0.8,4.6,197.7842
56,Sathmahal Prasada,Polonnaruwa,North Central,History,7.9463,80.9975,Paved,1.0,4.6,197.22070000000002
57,Rankoth Vehera,Polonnaruwa,North Central,History,7.9488,80.9956,Paved,1.5,4.7,196.8232
58,Kiri Vehera,Polonnaruwa,North Central,History,7.95,80.996,Paved,1.0,4.6,196.49120000000002
59,Lankatilaka Image House,Polonnaruwa,North Central,History,7.948,80.9955,Paved,1.5,4.7,196.9108
60,Gal Vihara,Polonnaruwa,North Central,History,7.9435,81.0026,Paved,1.5,4.9,198.21460000000002
61,Tivanka Image House,Polonnaruwa,North Central,History,7.955,80.9985,Paved,1.5,4.7,196.11329999999998
62,Nelum Pokuna (Lotus Pond),Polonnaruwa,North Central,History,7.9515,80.9949,Paved,1.0,4.6,195.714
63,Demala Maha Seya,Polonnaruwa,North Central,History,7.9597,80.992,Off-Road,1.5,4.4,195.18429999999998
64,Pothgul Viharaya,Polonnaruwa,North Central,History,7.933,81.002,Paved,1.0,4.6,198.7618
65,Shiva Devale No. 1,Polonnaruwa,North Central,History,7.941,81.001,Paved,0.8,4.5,197.7877
66,Shiva Devale No. 2,Polonnaruwa,North Central,History,7.9413,81.0008,Paved,0.8,4.5,197.7657
67,Parakrama Bahu Statue,Polonnaruwa,North Central,History,7.9315,81.006,Paved,0.8,4.6,199.4054
68,Kumara Pokuna (Royal Bath),Polonnaruwa,North Central,History,7.9395,81.002,Paved,0.8,4.5,198.1035
69,Sudden Viewpoint of Parakrama Samudraya,Polonnaruwa,North Central,Viewpoint,7.936,81.015,Paved,1.0,4.5,199.9897
70,Medirigiriya Vatadage,Medirigiriya,North Central,History,8.127,80.963,Paved,1.5,4.7,187.7221
71,Giritale Wewa,Giritale,North Central,Nature,7.997,80.935,Paved,2.0,4.6,186.89339999999999
72,Giritale Forest Reserve,Giritale,North Central,Nature,7.999,80.938,Off-Road,2.5,4.5,187.34629999999999
73,Minneriya National Park,Minneriya,North Central,Safari,8.031,80.821,Off-Road,6.0,4.8,162.53779999999998
74,Kaudulla National Park,Kaudulla,North Central,Safari,8.138,80.904,Off-Road,6.0,4.7,181.3469
75,Somawathiya National Park,Somawathiya,North Central,Safari,8.146,81.097,Off-Road,6.0,4.6,204.7463
76,Angammedilla National Park,Angammedilla,North Central,Nature,7.979,80.868,Off-Road,4.0,4.6,193.1069
77,Maduru Oya National Park (Polonnaruwa Sector),Aralaganwila,North Central,Safari,7.695,81.22,Off-Road,6.0,4.6,242.8678
78,Diyabeduma Waterfall,Aralaganwila,North Central,Nature,8.045,81.12,Hilly,2.0,4.4,207.0484
79,Manampitiya Bridge,Manampitiya,North Central,Architecture,8.196,81.062,Paved,1.0,4.3,205.3401
80,Habarana Elephant Watch & Village Walk,Habarana,North Central,Culture,8.048,80.745,Off-Road,2.5,4.5,156.26
81,Mahaweli River Viewpoint - Somawathiya,Somawathiya,North Central,Viewpoint,8.16,81.11,Off-Road,1.5,4.4,204.7463
82,Diyabubula Eco Area (Habarana side),Habarana,North Central,Nature,8.04,80.76,Off-Road,2.0,4.4,155.25920000000002
83,Hathikuchchi Archaeological Site,Anuradhapura,North Central,History,7.989,80.482,Off-Road,2.0,4.5,148.559
84,Ederagala Wewa View,Habarana,North Central,Relax,8.06,80.752,Paved,1.0,4.3,159.15679999999998
85,Awkana Lake Sunset Point,Aukana,North Central,Viewpoint,8.071,80.5065,Paved,1.0,4.5,165.6294
86,Kalankuttiya Wewa,Medawachchiya,North Central,Nature,8.615,80.545,Off-Road,2.0,4.3,223.37460000000002
87,Nelumkulama Tank & Birding,Nelumkulama,North Central,Birding,8.453,80.367,Off-Road,2.5,4.4,212.5216
88,Thammannakulama Tank Anuradhapura,Anuradhapura,North Central,Nature,8.367,80.388,Paved,1.5,4.4,191.1788
89,Keeriyankalliya Lake Edge,Polonnaruwa,North Central,Relax,7.95,81.04,Paved,1.5,4.3,204.44039999999998
90,One Tree Hill View (Polonnaruwa North),Polonnaruwa,North Central,Viewpoint,7.96,81.015,Hilly,1.2,4.3,198.9461
1,Galle Dutch Fort,Galle,Southern,History,6.027,80.217,Paved,3.0,4.9,159.96120000000002
2,Galle Lighthouse,Galle,Southern,History,6.022,80.216,Paved,1.0,4.8,160.2353
3,National Maritime Museum,Galle,Southern,Museum,6.026,80.216,Paved,1.5,4.6,160.0839
4,Dutch Reformed Church (Groote Kerk),Galle,Southern,History,6.026,80.217,Paved,1.0,4.6,160.0201
5,All Saints Church,Galle,Southern,History,6.025,80.216,Paved,1.0,4.5,160.133
6,Old Dutch Hospital Shopping Precinct,Galle,Southern,Shopping,6.024,80.214,Paved,1.5,4.5,160.0851
7,Galle Fort Ramparts & Clock Tower,Galle,Southern,History,6.03,80.216,Paved,1.5,4.6,159.4205
8,Galle National Museum,Galle,Southern,Museum,6.025,80.217,Paved,1.5,4.5,160.127
9,Unawatuna Beach,Unawatuna,Southern,Beach,6.012,80.246,Paved,3.0,4.7,158.7562
10,Jungle Beach (Rumassala),Rumassala,Southern,Nature,6.01,80.246,Off-Road,2.5,4.7,158.9255
11,Japanese Peace Pagoda,Rumassala,Southern,Religious,6.0086,80.2482,Hilly,1.5,4.6,158.75060000000002
12,Yatagala Rajamaha Viharaya,Unawatuna,Southern,Religious,6.022,80.263,Hilly,1.5,4.6,159.14270000000002
13,Dalawella Beach,Dalawella,Southern,Beach,6.005,80.262,Paved,3.0,4.6,160.7501
14,Mihiripenna Beach,Mihiripenna,Southern,Beach,6.0,80.266,Paved,3.0,4.5,160.7864
15,Thalpe Beach,Thalpe,Southern,Beach,5.992,80.293,Paved,3.0,4.5,163.92329999999998
16,Koggala Beach,Koggala,Southern,Beach,5.99,80.322,Paved,3.0,4.6,167.15220000000002
17,Koggala Lake,Koggala,Southern,Nature,5.994,80.345,Off-Road,2.5,4.6,169.8284
18,Martin Wickramasinghe Folk Museum,Koggala,Southern,Museum,5.993,80.319,Paved,1.5,4.6,166.82770000000002
19,Habaraduwa Sea Turtle Hatchery,Habaraduwa,Southern,Nature,6.0,80.322,Paved,1.5,4.6,167.3963
20,Handunugoda Tea Estate (Virgin White Tea),Ahangama,Southern,Museum,5.966,80.356,Hilly,2.0,4.7,171.6732
21,Ahangama Beach,Ahangama,Southern,Beach,5.973,80.385,Paved,3.0,4.5,175.4214
22,Midigama Beach,Midigama,Southern,Beach,5.956,80.406,Paved,3.0,4.5,178.152
23,Kathaluwa Old Temple,Kathaluwa,Southern,Religious,5.987,80.342,Paved,1.5,4.5,170.5541
24,Hikkaduwa Beach,Hikkaduwa,Southern,Beach,6.14,80.1,Paved,3.0,4.6,148.4437
25,Hikkaduwa Coral Sanctuary,Hikkaduwa,Southern,Nature,6.139,80.103,Off-Road,2.0,4.6,148.10420000000002
26,Hikkaduwa National Park,Hikkaduwa,Southern,Nature,6.139,80.102,Off-Road,3.0,4.6,148.3272
27,Seenigama Devalaya,Seenigama,Southern,Religious,6.152,80.1,Paved,1.0,4.5,149.8284
28,Dodanduwa Lake,Dodanduwa,Southern,Nature,6.1,80.082,Off-Road,2.0,4.4,148.8912
29,Kosgoda Turtle Conservation Project,Kosgoda,Southern,Nature,6.35,80.03,Paved,2.0,4.6,124.541
30,Madu River Safari,Balapitiya,Southern,Adventure,6.345,80.034,Off-Road,3.0,4.6,124.7607
31,Maduganga Islands Birding,Balapitiya,Southern,Birding,6.34,80.04,Off-Road,2.5,4.5,125.9442
32,Dewata Surf Point,Dewata,Southern,Adventure,6.016,80.236,Paved,2.5,4.5,158.50039999999998
33,Rumassala Sanjeewani Hill Viewpoint,Rumassala,Southern,Viewpoint,6.009,80.246,Hilly,1.5,4.6,158.9394
34,Pitiwella Beach,Pitiwella,Southern,Beach,6.074,80.191,Paved,2.5,4.4,153.30020000000002
35,Boossa Beach,Boossa,Southern,Beach,6.071,80.187,Paved,2.5,4.4,153.4906
36,Rathgama Lake,Rathgama,Southern,Nature,6.088,80.172,Off-Road,2.0,4.4,148.657
37,Matara Fort,Matara,Southern,History,5.948,80.546,Paved,1.5,4.6,190.03979999999999
38,Star Fort,Matara,Southern,History,5.949,80.548,Paved,1.5,4.6,189.97729999999999
39,Parevi Duwa Temple,Matara,Southern,Religious,5.939,80.551,Paved,1.0,4.6,190.81220000000002
40,Matara Beach,Matara,Southern,Beach,5.942,80.552,Paved,3.0,4.5,190.89829999999998
41,Polhena Beach,Polhena,Southern,Beach,5.936,80.521,Paved,3.0,4.6,191.18810000000002
42,Madiha Beach,Madiha,Southern,Beach,5.93,80.508,Paved,3.0,4.5,190.7969
43,Mirissa Beach,Mirissa,Southern,Beach,5.943,80.457,Paved,3.0,4.7,183.1527
44,Mirissa Whale Watching,Mirissa,Southern,Adventure,5.943,80.457,Off-Road,4.0,4.8,183.1527
45,Coconut Tree Hill,Mirissa,Southern,Viewpoint,5.935,80.451,Hilly,1.5,4.7,183.3026
46,Secret Beach Mirissa,Mirissa,Southern,Beach,5.94,80.443,Paved,2.5,4.6,183.5929
47,Weligama Bay Beach,Weligama,Southern,Beach,5.972,80.429,Paved,3.0,4.6,178.1081
48,Taprobane Island Viewpoint,Weligama,Southern,Viewpoint,5.974,80.423,Paved,1.0,4.5,178.2085
49,Kushtarajagala Statue,Weligama,Southern,History,5.977,80.429,Paved,1.0,4.5,177.3174
50,Weherahena Poorwarama Temple,Matara,Southern,Religious,5.943,80.579,Paved,2.0,4.6,194.3569
51,Dondra Head Lighthouse,Devinuwara,Southern,History,5.918,80.589,Paved,1.5,4.7,197.13479999999998
52,Devinuwara Vishnu Devalaya,Devinuwara,Southern,Religious,5.919,80.588,Paved,1.5,4.6,197.048
53,Dondra Beach,Devinuwara,Southern,Beach,5.915,80.592,Paved,3.0,4.5,197.1389
54,Talalla Beach,Talalla,Southern,Beach,5.939,80.617,Paved,3.0,4.6,204.3039
55,Nilwella Beach,Nilwella,Southern,Beach,5.95,80.691,Paved,3.0,4.5,211.4247
56,Hummanaya Blowhole,Kudawella,Southern,Nature,5.951,80.7,Off-Road,1.5,4.7,213.5503
57,Hiriketiya Beach,Dikwella,Southern,Beach,5.939,80.714,Paved,3.0,4.7,215.4616
58,Dikwella Beach,Dikwella,Southern,Beach,5.938,80.706,Paved,3.0,4.6,214.0172
59,Kirala Kelle Wetland,Matara,Southern,Nature,5.965,80.522,Off-Road,2.0,4.4,186.0368
60,Gandara Bay Beach,Gandara,Southern,Beach,5.904,80.609,Paved,2.5,4.4,197.2994
61,Thalaramba Beach,Thalaramba,Southern,Beach,5.94,80.469,Paved,2.5,4.5,184.2753
62,Kottegoda Beach,Kottegoda,Southern,Beach,5.912,80.649,Paved,2.5,4.4,204.61329999999998
63,Tangalle Beach,Tangalle,Southern,Beach,6.022,80.793,Paved,3.0,4.6,218.2545
64,Medaketiya Beach,Tangalle,Southern,Beach,6.018,80.798,Paved,3.0,4.5,218.65820000000002
65,Goyambokka Beach,Tangalle,Southern,Beach,6.027,80.773,Paved,3.0,4.6,216.1217
66,Silent Beach,Tangalle,Southern,Beach,6.037,80.781,Paved,3.0,4.6,215.4761
67,Rekawa Turtle Beach,Rekawa,Southern,Nature,6.042,80.87,Off-Road,3.0,4.7,233.4596
68,Kalametiya Bird Sanctuary,Kalametiya,Southern,Birding,6.075,80.938,Off-Road,3.0,4.6,236.48129999999998
69,Ridiyagama Safari Park,Ridiyagama,Southern,Safari,6.193,80.925,Off-Road,4.0,4.5,236.80720000000002
70,Dry Zone Botanic Gardens (Mirijjawila),Hambantota,Southern,Nature,6.126,81.103,Paved,2.5,4.6,273.6927
71,Hambantota Birds Park & Safari,Hambantota,Southern,Birding,6.125,81.129,Paved,3.0,4.4,275.5467
72,Bundala National Park,Bundala,Southern,Safari,6.204,81.18,Off-Road,6.0,4.7,281.2437
73,Tissamaharama Raja Maha Vihara,Tissamaharama,Southern,Religious,6.285,81.283,Paved,1.5,4.6,284.0685
74,Yatala Vehera,Tissamaharama,Southern,History,6.283,81.284,Paved,1.5,4.6,284.2067
75,Tissa Wewa Lake,Tissamaharama,Southern,Relax,6.286,81.295,Paved,2.0,4.5,285.4508
76,Debarawewa Lake,Debarawewa,Southern,Nature,6.275,81.288,Off-Road,2.0,4.4,285.1997
77,Weerawila Lake,Weerawila,Southern,Nature,6.253,81.152,Off-Road,2.0,4.4,269.8433
78,Kirinda Beach & Vihara,Kirinda,Southern,Beach,6.373,81.33,Paved,2.5,4.5,296.5531
79,Lunugamvehera National Park,Lunugamvehera,Southern,Safari,6.513,81.075,Off-Road,6.0,4.6,294.7281
80,Yala National Park (Palatupana Gate),Palatupana,Southern,Safari,6.4,81.52,Off-Road,6.0,4.8,321.194
81,Sithulpawwa Rajamaha Viharaya,Yala,Southern,Religious,6.406,81.215,Off-Road,2.5,4.7,288.5324
82,Walawe River Safari,Ambalantota,Southern,Adventure,6.16,80.923,Off-Road,3.0,4.5,234.98829999999998
